Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),Electricity:Facility [kW](Monthly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/06  24:00:00,18.10167406,2.685849783,0,0,5.481224596,1.011599678,89.84556784,89.84556784,,
 01/07  01:00:00,17.70100695,2.285182672,0,0,5.481224596,1.011599678,80.01086183,80.01086183,,
 01/07  02:00:00,18.28748068,2.871656408,0,0,5.481224596,1.011599678,107.7083415,107.7083415,,
 01/07  03:00:00,17.83868241,2.422858135,0,0,5.481224596,1.011599678,94.97929291,94.97929291,,
 01/07  04:00:00,18.34695458,2.931130306,0,0,5.481224596,1.011599678,114.7213876,114.7213876,,
 01/07  05:00:00,17.83683701,2.421012733,0,0,5.481224596,1.011599678,96.7437431,96.7437431,,
 01/07  06:00:00,18.35610425,2.940279973,0,0,5.481224596,1.011599678,117.5924047,117.5924047,,
 01/07  07:00:00,17.85600774,2.440183469,0,0,5.481224596,1.011599678,99.70446314,99.70446314,,
 01/07  08:00:00,19.78001648,4.364192203,0,0,5.481224596,1.011599678,158.2458923,158.2458923,,
 01/07  09:00:00,11.86861616,4.364192203,0,0,5.481224596,2.023199356,146.511753,146.511753,,
 01/07  10:00:00,21.56552995,4.364192203,0,0,13.15493903,4.046398712,123.9167051,123.9167051,,
 01/07  11:00:00,21.54017733,4.338839583,0,0,13.15493903,4.046398712,96.48544807,96.48544807,,
 01/07  12:00:00,21.48947209,4.288134343,0,0,13.15493903,4.046398712,80.36297464,80.36297464,,
 01/07  13:00:00,10.85536471,4.362540434,0,0,5.481224596,1.011599678,75.58451344,75.58451344,,
 01/07  14:00:00,10.85536471,4.362540434,0,0,5.481224596,1.011599678,71.35511234,71.35511234,,
 01/07  15:00:00,10.85536471,4.362540434,0,0,5.481224596,1.011599678,68.87800518,68.87800518,,
 01/07  16:00:00,10.85536471,4.362540434,0,0,5.481224596,1.011599678,70.56770369,70.56770369,,
 01/07  17:00:00,13.97777459,1.53628365,0,0,5.481224596,1.011599678,51.2388699,51.2388699,,
 01/07  18:00:00,16.86434831,1.448524034,0,0,5.481224596,1.011599678,47.57281063,47.57281063,,
 01/07  19:00:00,17.44282095,2.026996679,0,0,5.481224596,1.011599678,66.90363422,66.90363422,,
 01/07  20:00:00,17.05492392,1.639099646,0,0,5.481224596,1.011599678,53.5799732,53.5799732,,
 01/07  21:00:00,17.58509734,2.16927307,0,0,5.481224596,1.011599678,71.49600737,71.49600737,,
 01/07  22:00:00,17.02179053,1.605966254,0,0,5.481224596,1.011599678,52.39241363,52.39241363,,
 01/07  23:00:00,17.47334815,2.057523871,0,0,5.481224596,1.011599678,67.60654307,67.60654307,,
 01/07  24:00:00,16.9779838,1.562159529,0,0,5.481224596,1.011599678,50.84390854,50.84390854,,
 01/08  01:00:00,17.51586691,2.10004264,0,0,5.481224596,1.011599678,68.9083511,68.9083511,,
 01/08  02:00:00,17.02451447,1.608690192,0,0,5.481224596,1.011599678,52.35658545,52.35658545,,
 01/08  03:00:00,17.49196573,2.076141452,0,0,5.481224596,1.011599678,68.05741076,68.05741076,,
 01/08  04:00:00,16.96919284,1.553368566,0,0,5.481224596,1.011599678,50.44063974,50.44063974,,
 01/08  05:00:00,17.47741258,2.061588305,0,0,5.481224596,1.011599678,67.49753692,67.49753692,,
 01/08  06:00:00,16.98852921,1.572704931,0,0,5.481224596,1.011599678,51.04698699,51.04698699,,
 01/08  07:00:00,17.48925559,2.073431316,0,0,5.481224596,1.011599678,67.84591933,67.84591933,,
 01/08  08:00:00,16.99092252,1.575098249,0,0,5.481224596,1.011599678,51.10294255,51.10294255,,
 01/08  09:00:00,8.552588977,2.059764703,0,0,5.481224596,1.011599678,67.37450769,67.37450769,,
 01/08  10:00:00,7.966350652,1.473526377,0,0,5.481224596,1.011599678,47.76837993,47.76837993,,
